Name,Rows,errorMat,errorPy,memoryMat,memoryPy,timeMat,timePy,Nnz,Cond
apache2,715176,4.3889e-11,2.23594130910856e-08,2823.5050499999998,65.69564104080216,14.288,74.8024961948395,4817870,5316860.9713
cfd1,70656,1.1359e-13,6.62846322021346e-12,569.0886,24.73494863510131,2.64065,4.92231917381287,1825580,1335080.6495
cfd2,123440,3.3486e-13,1.33416072036247e-10,1166.5884500000002,0.003326416015625,6.162599999999999,12.20013761520385,3085406,3728473.0088
ex15,6867,6.3482e-07,5.28117015891863e-05,1.8084,1.3339748382568375,0.0277605,0.018616557121277,98671,14326420467489.8
G3_circuit,1585478,3.5766e-12,3.45256793174384e-09,3233.09475,105.31194257736182,19.19345,30.8749758005142,7660826,22384247.4462
parabolic_fem,525825,1.05e-12,8.83677937470142e-10,573.0263,0.003326416015625,3.1601,7.180179834365845,3674625,211082.0285
shallow_water1,81920,2.6728e-16,6.92399203206692e-14,20.7831,4.535420417785643,0.25871,0.6803827285766606,327680,3.628
